,pathogen-count,pathogen-aggr--log10p:flu,pathogen-aggr--log10p:hrv,pathogen-aggr--log10p:rsv,pathogen-aggr--log10p:piv3,pathogen-aggr--log10p:hucovNL63,pathogen-aggr--log10p:hucovOC43,pathogen-aggr--log10p:hucov229E,pathogen-aggr--log10p:sars2,pathogen-aggr--log10p:mers,mashup:0,mashup:1,mashup:2,mashup:3,mashup:4,mashup:5,mashup:6,mashup:7,mashup:8,mashup:9
ATP6AP1,5.0,9.336891016488119,6.610550387319927,5.765330891811094,2.057262944438904,4.243128174142129,1.1825866931785347,5.434459128264247,2.08462127317345,1.6323013589297202,-3.08522698175175,0.06468615607120748,-0.09125673573739053,-0.08850104884878095,-0.03201435941853602,-0.04976387247299941,-0.049473718019332084,-0.04079363078478056,-0.027410951671212054,-0.05168880121856227
ATP6V1E1,5.0,8.028747853547303,6.610550387319927,5.434329239621482,1.2803207538164165,5.042287384163365,0.45448259239850763,3.6388200981863994,1.3617803888294124,1.9775982369819773,-3.076533805171797,-0.01301600995708882,-0.103864911451836,-0.09666365913242717,-0.053885824751664084,0.006184839787162053,-0.09402537281448566,-0.0869739496261926,-0.009126187501129302,-0.10045175139391065
COG2,4.0,5.157608358825769,0.5310474427344659,5.434329239621482,5.656315751168226,0.4860370126280047,1.1304632075379888,3.4716232911545926,2.749287313540815,2.2191440010021277,-3.0447750070213253,0.12746227002244503,-0.4500665975920558,-0.8334813994199741,-0.6690612018434564,-0.250824414969078,-0.8523862219582267,-0.17595140983947885,-0.2902024927879763,0.36981271057259457
AP2M1,5.0,4.193925467249343,0.4752404949711419,5.042220370058076,0.3277450852283312,6.610479534153622,0.6020252491590783,6.610550387319927,0.10632144408885832,11.723700878731997,-2.944417164075594,0.8635016613528308,0.15219516813696055,-0.5530683137973175,-0.22728330661514656,0.607984479614754,-0.3501897415349017,0.06838085205080051,-0.34987722575909563,0.9821567814464902
TGFBR1,2.0,5.056766821624492,0.1581589425504197,4.759176284482335,0.4612001300350003,1.1992829217176149,0.4924409526532882,1.0132775184161862,1.089066257147477,1.1079208357666932,-2.921053217768828,0.20212043295800833,0.6718143689301894,-0.26237306513254083,-0.29222913600341055,0.28158569145012985,0.10989023319414905,-0.20042987803166937,0.9854177753099131,-0.08346377966071808
ATP6V1F,4.0,5.317281562019779,6.610550387319927,4.480093289283262,0.44977164694490596,2.717672500761474,1.2114569109607127,5.119192122157881,0.9387360576997501,1.095525967458204,-3.076166323597902,0.014603475253311807,-0.08873450771186592,-0.11123496166127796,-0.06608721904198762,-0.01998210465887309,-0.0802178945468062,-0.08669872937187478,0.04384796496446973,-0.10416945769916522
UNC50,3.0,4.130711502433454,1.1723593776827999,4.250588367481359,4.724067024178292,2.716902394562775,0.6641611304200458,0.26410581659408366,0.27695500835655495,0.8633601023606465,-3.1018251812197795,0.006037904711815404,-0.10293534832190031,-0.07624104599975608,-0.015869145396035202,-0.10706753081523972,0.009275890745423114,0.03711714578102889,-0.04064683969278314,0.07264358431356326
ATP6V1G1,4.0,5.985881548143307,2.8107343310654516,3.9944763073267207,1.280635562031035,4.614858652395342,1.0977740321946063,3.5449723176432193,1.1947642851219487,1.8601972444751684,-3.07836126722512,0.004863454330611597,-0.09623466427225544,-0.09867874832894723,-0.07484996135418542,-0.014062125942884396,-0.07737718763910847,-0.0956328406197922,-0.008060074827991683,-0.0867319601872598
ATP6AP2,5.0,7.476658307963914,6.1334291326002655,3.701408888702431,0.1030716401088389,3.360802472437482,1.5830102008208278,6.1334291326002655,1.590337338755543,0.8596224404475968,-3.0958401391372723,0.06167630061079329,-0.07181491270895733,0.052509028724102014,-0.010540077977769893,-0.04569862168439461,0.02617829391486585,0.0121753662088115,0.03792775254554469,0.02976178971847485
RPTOR,4.0,3.776042886679909,2.064588470888609,3.600551270185769,0.814004806135286,5.569102950972742,4.003160104264079,1.244727478744693,1.119861231058057,2.4456085962181744,-3.008707518980814,-0.07887281886647014,0.05778610625748268,-0.029363955912869957,-0.32351114179942414,0.22100457685370886,-0.16333529597498403,-0.41305758771359213,0.12449533000881137,-0.05268772309366687
