,pathogen-count,mashup:0,mashup:1,mashup:2,mashup:3,mashup:4,mashup:5,mashup:6,mashup:7,mashup:8,mashup:9
RAB5C,2.0,-3.0779244770815706,0.15186546424698305,-0.1431891039830353,-0.2683654124873663,-0.11538546201789306,-0.11504612973701367,-0.11733349078349342,0.07292324763402216,-0.13028022819629223,0.29677221637283124
NELFA,1.0,-3.066009389101494,-0.5220345937669827,-0.08165380713657386,0.14720232293473792,0.21590459561694883,0.3017732510316232,-0.09625642101454286,0.49548244381400414,-0.06809754076386959,0.11616829991278789
ZCRB1,3.0,-3.0781791690284366,-0.4614055410218378,-0.29782877146593534,0.04886625354976774,0.476131537124757,0.39981246467816894,-0.30978313926120776,0.35305278435979026,-0.02539809087075127,-0.211222314509689
ANKFY1,1.0,-3.1030508141273025,0.03434115686168076,-0.08985626142492052,-0.08220204395532392,0.0010000239940320035,-0.08507193154628016,0.0030116552819348303,0.05696771194463102,-0.028574127909929144,0.056315244995166124
MTIF2,1.0,-3.0934235502888394,-0.023831382167318726,-0.21205616535824978,-0.05389044213360488,0.10166077746924468,-0.32121237731378893,0.18862641293317345,0.13247990746894775,-0.10491932969685734,-0.10100276025829084
GPAA1,2.0,-3.0974808239108347,0.050692998191014464,-0.08201750390232543,-0.042002348458317185,0.05347078275974931,-0.1297770315238986,0.0612336044039818,0.0732737173548787,0.03165482264116859,-0.03550691587984908
RAB11A,1.0,-2.9802236846906682,0.3724828802464649,-0.5296221653224352,-0.6897549839746765,-1.0509313176042507,0.13975772457122562,-0.7810630059445699,-0.3326574201550017,0.19982110343264542,0.03983992593414742
ASB6,1.0,-3.0865527576000074,-0.15039906525083807,-0.014752635151168036,-0.04780254146862034,-0.16767631226986313,0.12760799348438348,0.43564440100799734,0.33900326955175125,-0.13567713263311965,-0.06561793240744762
EIF3K,2.0,-3.0757021834620764,-0.26555996060923076,-0.4866839016146452,-0.15486127923925386,0.4238043506831497,0.151029669143194,0.5548724990226437,-0.9186064059563491,0.174204281511208,0.3561328885685395
CUL3,3.0,-2.996698134744127,-0.4937733132818307,0.2581310944623052,-0.06313469704791624,-0.9626448013358027,0.6286221073144093,0.9448939527360343,0.4096769506455205,-0.04694028183114728,-0.10822120889749266
PSMB2,1.0,-2.948135033729812,-0.5029175922658126,0.5120285627117978,-0.13508178875039062,-1.266548983476699,0.8918403761426302,1.0932916117640916,0.21825684939625112,0.10501006139853662,-0.3420732084272611
TRMT11,1.0,-3.10653277073013,-0.010189776369863315,-0.09470038406200032,-0.025091566527415787,0.043952313890456625,-0.08533582243574069,0.06092914909643885,0.0034389829069103733,-0.011594962667624109,0.008560015143933241
DDOST,2.0,-3.06164095686325,-0.3328439077857362,-0.6255946223581561,-0.2070004025021383,0.5074294936443878,0.17925753978198944,0.692806872789132,-1.1515700670755906,0.20606159207257493,0.5187850836624569
WDR77,3.0,-3.0608368780155146,-0.4428219438316909,0.10886010573947796,0.18678724859906012,0.10084119042733788,0.05617946776970477,-0.3542966113948485,0.03404564377859485,0.04564666886385331,0.04000385851734901
RNF7,1.0,-3.061463499565264,-0.2936037659185167,0.09139313156888082,-0.05596848963023216,-0.35103730248198317,0.28788271096933626,0.7899132617715751,0.4870200144097161,-0.2806998744052327,-0.1923392218068791
RABGEF1,1.0,-3.0863957268207303,0.11378687794915697,-0.13230530876423277,-0.23064054813020776,-0.08455137144687609,-0.11088764424644205,-0.10973308965551541,0.06403570391488116,-0.10166635548895259,0.22090386579504717
FIBP,1.0,-3.0961845936073304,-0.04939884744255537,-0.0679088409553082,-0.005156454724593374,0.028545731370878482,-0.04989410858092809,0.057848556300989264,0.06676898183903955,-0.03760531184960923,-0.056723580734136254
MATR3,1.0,-3.0501522668210255,-0.34403185922971824,-0.1597386172668503,-0.10961655965060087,0.08562874407177366,0.28824201852372583,-0.10700160227453819,0.01769635222421867,0.0019051800874944282,-0.04971464018380939
A1CF,1.0,-3.103192159139174,-0.02966269408170922,-0.04501994921179339,0.004439085430280669,0.03705814892903255,-0.09263157094201627,0.012327375622278902,0.046376409986627565,-0.0058494360072861035,0.009716681463313738
ATP6V0A1,1.0,-3.0895268040287815,0.025164265554226985,-0.11833179534394897,-0.10863216959952707,-0.06278154296824831,-0.08068500906060848,-0.0535563321258249,-0.029088150211696053,-0.037878902710469294,-0.046252442886525726
ATG9A,3.0,-3.0841314268546753,0.001822361833370397,-0.04592709809042814,-0.10036797987650214,-0.10731329709075944,-0.06344701455127835,-0.04497649021169618,-0.016358401289675157,-0.028995973254838048,0.03410541284546599
