id	num	neg_score	neg_p_value	neg_fdr	neg_rank	neg_goodsgrna	neg_lfc	pos_score	pos_p_value	pos_fdr	pos_rank	pos_goodsgrna	pos_lfc
Pcdh8	3	0.66383	0.66703	1	14249	1	-0.017349	0.77276	0.77287	1	16030	0	-0.017349
4930480E11Rik	4	0.13577	0.26868	1	5352	2	-0.031103	0.77279	0.77732	1	16031	1	-0.031103
Gm10302	12	0.10333	0.30582	1	4404	4	-0.0022501	0.77282	0.91182	1	16032	3	-0.0022501
Drd4	4	0.42657	0.5727	1	11404	2	-0.016424	0.77291	0.77742	1	16033	1	-0.016424
NO_SITE_93	1	0.22708	0.22673	1	7304	1	-0.08831	0.77292	0.77325	1	16034	0	-0.08831
Sdha	4	0.20633	0.34281	1	6897	2	-0.056326	0.77292	0.77743	1	16035	1	-0.056326
Zfp579	4	0.40773	0.55303	1	11007	1	-0.012908	0.77296	0.77745	1	16036	1	-0.012908
Tjap1	4	0.036195	0.093001	0.956885	1956	1	-0.039752	0.77297	0.77747	1	16037	1	-0.039752
Olfr517	4	0.24963	0.38793	1	7768	2	-0.072341	0.77299	0.77749	1	16038	1	-0.072341
Fam171b	4	0.82394	0.82355	1	17053	0	0.043602	0.77301	0.7775	1	16039	1	0.043602
Bmp10	4	0.025065	0.070078	0.947751	1499	2	-0.092057	0.77309	0.77755	1	16040	1	-0.092057
Ehbp1	4	0.2192	0.35628	1	7150	2	-0.075062	0.77319	0.77764	1	16041	1	-0.075062
Tec	4	0.0072068	0.024819	0.840378	598	2	-0.15816	0.77324	0.77768	1	16042	1	-0.15816
Luzp2	4	0.21977	0.35689	1	7159	1	0.016681	0.77335	0.77777	1	16043	1	0.016681
Sycp2	4	0.38831	0.53266	1	10597	1	-0.032425	0.7734	0.7778	1	16044	1	-0.032425
Cyp4a32	3	0.54281	0.57103	1	12709	1	-0.047849	0.77344	0.77354	1	16045	0	-0.047849
Gm10439	26	0.46524	0.81732	1	11856	9	-0.022681	0.77353	0.95818	1	16046	6	-0.022681
Arpin	4	0.2319	0.36955	1	7414	1	-0.010953	0.77355	0.77792	1	16047	1	-0.010953
Epb41l1	4	0.59855	0.65773	1	13391	1	-0.0064818	0.77357	0.77793	1	16048	1	-0.0064818
Il7r	4	0.21926	0.35635	1	7151	2	-0.028497	0.77368	0.77802	1	16049	1	-0.028497
Akr1c21	4	0.76888	0.77282	1	15942	1	-0.037379	0.77373	0.77807	1	16050	1	-0.037379
Tpd52l1	4	0.036552	0.093759	0.956885	1969	3	-0.098004	0.77377	0.7781	1	16051	1	-0.098004
L3mbtl2	4	0.24012	0.37795	1	7565	2	-0.040529	0.77378	0.77811	1	16052	1	-0.040529
Cd302	4	0.82602	0.82557	1	17086	0	-0.0319	0.77385	0.77816	1	16053	1	-0.0319
NO_SITE_662	1	0.22615	0.22579	1	7284	1	-0.10189	0.77385	0.77417	1	16054	0	-0.10189
Dscaml1	4	0.96489	0.96481	1	20143	0	0.050816	0.77387	0.77818	1	16055	1	0.050816
Gm46193	1	0.22607	0.22572	1	7281	1	-0.2097	0.77393	0.77426	1	16056	0	-0.2097
NO_SITE_19	1	0.22606	0.22571	1	7279	1	-0.11915	0.77394	0.77427	1	16057	0	-0.11915
Klk5	4	0.16615	0.30059	1	6019	2	-0.037345	0.77398	0.77827	1	16058	1	-0.037345
Dmrt3	4	0.9098	0.90953	1	18891	0	0.023083	0.77405	0.77831	1	16059	1	0.023083
Gm4133	5	0.11001	0.23964	1	4625	3	-0.088639	0.7741	0.80242	1	16060	1	-0.088639
Uba52	2	0.34696	0.37066	1	9748	1	-0.1608	0.77423	0.77373	1	16061	0	-0.1608
Olfr267	4	0.051075	0.12266	0.969004	2548	3	-0.12136	0.77428	0.7785	1	16062	1	-0.12136
Kif13a	4	0.02323	0.066152	0.942627	1424	3	-0.11471	0.77444	0.77865	1	16063	1	-0.11471
Pramel6	4	0.094474	0.2047	1	4090	2	-0.022124	0.77448	0.77867	1	16064	1	-0.022124
AY358078	4	0.083874	0.18529	0.999786	3721	2	-0.066044	0.77454	0.77873	1	16065	1	-0.066044
Hdac9	4	0.1917	0.32747	1	6591	2	-0.051013	0.77466	0.77882	1	16066	1	-0.051013
Olfr1014	4	0.41872	0.56453	1	11253	1	-0.029334	0.77469	0.77885	1	16067	1	-0.029334
NO_SITE_623	1	0.22529	0.22493	1	7265	1	-0.081035	0.77471	0.77502	1	16068	0	-0.081035
Fes	4	0.47154	0.59446	1	11930	1	0.012349	0.77472	0.77887	1	16069	1	0.012349
Ttll1	4	0.7417	0.7508	1	15466	1	0.035426	0.77476	0.77889	1	16070	1	0.035426
Olfr460	4	0.02731	0.074756	0.952072	1587	3	-0.16489	0.77489	0.779	1	16071	1	-0.16489
Cep126	4	0.25733	0.39594	1	7940	2	-0.074849	0.77494	0.77904	1	16072	1	-0.074849
Egfem1	4	0.59133	0.65371	1	13296	1	-0.000343	0.77503	0.77914	1	16073	1	-0.000343
Atat1	4	0.021195	0.061826	0.938615	1333	3	-0.17084	0.77505	0.77915	1	16074	1	-0.17084
Vmn1r81	4	0.31779	0.45885	1	9175	2	-0.038746	0.77507	0.77916	1	16075	1	-0.038746
Isl1	4	0.20484	0.34119	1	6869	1	-0.028585	0.7751	0.77919	1	16076	1	-0.028585
Olfr800	4	0.72077	0.735	1	15128	1	0.016557	0.77512	0.77921	1	16077	1	0.016557
Olfr913	4	0.44259	0.58167	1	11620	1	-0.017505	0.77518	0.77926	1	16078	1	-0.017505
Olfr1145	4	0.55055	0.63208	1	12793	1	0.021047	0.77522	0.77929	1	16079	1	0.021047
Aamdc	4	0.090783	0.19798	1	3955	2	-0.08501	0.77523	0.77931	1	16080	1	-0.08501
Mid1	4	0.85216	0.85171	1	17673	0	0.036709	0.77538	0.77943	1	16081	1	0.036709
Olfr642	4	0.65331	0.68971	1	14104	1	0.0090629	0.77545	0.77949	1	16082	1	0.0090629
Lrrc72	4	0.11508	0.24147	1	4813	2	-0.048156	0.77553	0.77955	1	16083	1	-0.048156
Vps26a	4	0.7899	0.79102	1	16351	1	-0.023456	0.77563	0.77964	1	16084	1	-0.023456
Prelid1	3	0.24881	0.37326	1	7748	2	-0.11035	0.77565	0.7757	1	16085	0	-0.11035
Mettl14	4	0.26411	0.40294	1	8074	1	-0.014469	0.77566	0.77967	1	16086	1	-0.014469
