Gene1	Gene2	std_gene1	std_gene2
ARPC3	ARPC4	ARPC3	ARPC4
ARPC3	ACTR3	ARPC3	ACTR3
ARPC3	ACTR2	ARPC3	ACTR2
ARPC5	ARPC4	ARPC5	ARPC4
ARPC5	ACTR3	ARPC5	ACTR3
ARPC5	ACTR2	ARPC5	ACTR2
ARPC4	ACTR3	ARPC4	ACTR3
ARPC4	ACTR2	ARPC4	ACTR2
ACTR3	ACTR2	ACTR3	ACTR2
PSMC6	PSMD9	PSMC6	PSMD9
PSMC6	PSMC3	PSMC6	PSMC3
PSMD9	PSMC3	PSMD9	PSMC3
PSME1	PSME2	PSME1	PSME2
PSMD11	PSMD12	PSMD11	PSMD12
PSMD11	PSMD9	PSMD11	PSMD9
PSMD11	PSMD14	PSMD11	PSMD14
PSMD11	PSMD3	PSMD11	PSMD3
PSMD11	PSMD10	PSMD11	PSMD10
PSMD11	PSMC3	PSMD11	PSMC3
PSMD11	PSMC2	PSMD11	PSMC2
PSMD11	PSMC4	PSMD11	PSMC4
PSMD11	PSMD8	PSMD11	PSMD8
PSMD11	PSMD7	PSMD11	PSMD7
PSMD11	PSMD4	PSMD11	PSMD4
PSMD11	PSMC1	PSMD11	PSMC1
PSMD11	PSMC5	PSMD11	PSMC5
PSMD11	PSMC6	PSMD11	PSMC6
PSMD11	PSMD2	PSMD11	PSMD2
PSMD11	PSMD6	PSMD11	PSMD6
PSMD11	PSMD5	PSMD11	PSMD5
PSMD11	PSMD1	PSMD11	PSMD1
PSMD11	PSMD13	PSMD11	PSMD13
PSMD12	PSMD9	PSMD12	PSMD9
PSMD12	PSMD14	PSMD12	PSMD14
PSMD12	PSMD3	PSMD12	PSMD3
PSMD12	PSMD10	PSMD12	PSMD10
PSMD12	PSMC3	PSMD12	PSMC3
PSMD12	PSMC2	PSMD12	PSMC2
PSMD12	PSMC4	PSMD12	PSMC4
PSMD12	PSMD8	PSMD12	PSMD8
PSMD12	PSMD7	PSMD12	PSMD7
PSMD12	PSMD4	PSMD12	PSMD4
PSMD12	PSMC1	PSMD12	PSMC1
PSMD12	PSMC5	PSMD12	PSMC5
PSMD12	PSMC6	PSMD12	PSMC6
PSMD12	PSMD2	PSMD12	PSMD2
PSMD12	PSMD6	PSMD12	PSMD6
PSMD12	PSMD5	PSMD12	PSMD5
PSMD12	PSMD1	PSMD12	PSMD1
PSMD12	PSMD13	PSMD12	PSMD13
PSMD9	PSMD14	PSMD9	PSMD14
PSMD9	PSMD3	PSMD9	PSMD3
PSMD9	PSMD10	PSMD9	PSMD10
PSMD9	PSMC3	PSMD9	PSMC3
PSMD9	PSMC2	PSMD9	PSMC2
PSMD9	PSMC4	PSMD9	PSMC4
PSMD9	PSMD8	PSMD9	PSMD8
PSMD9	PSMD7	PSMD9	PSMD7
PSMD9	PSMD4	PSMD9	PSMD4
PSMD9	PSMC1	PSMD9	PSMC1
PSMD9	PSMC5	PSMD9	PSMC5
PSMD9	PSMC6	PSMD9	PSMC6
PSMD9	PSMD2	PSMD9	PSMD2
PSMD9	PSMD6	PSMD9	PSMD6
PSMD9	PSMD5	PSMD9	PSMD5
PSMD9	PSMD1	PSMD9	PSMD1
PSMD9	PSMD13	PSMD9	PSMD13
PSMD14	PSMD3	PSMD14	PSMD3
PSMD14	PSMD10	PSMD14	PSMD10
PSMD14	PSMC3	PSMD14	PSMC3
PSMD14	PSMC2	PSMD14	PSMC2
PSMD14	PSMC4	PSMD14	PSMC4
PSMD14	PSMD8	PSMD14	PSMD8
PSMD14	PSMD7	PSMD14	PSMD7
PSMD14	PSMD4	PSMD14	PSMD4
PSMD14	PSMC1	PSMD14	PSMC1
PSMD14	PSMC5	PSMD14	PSMC5
PSMD14	PSMC6	PSMD14	PSMC6
PSMD14	PSMD2	PSMD14	PSMD2
PSMD14	PSMD6	PSMD14	PSMD6
PSMD14	PSMD5	PSMD14	PSMD5
PSMD14	PSMD1	PSMD14	PSMD1
PSMD14	PSMD13	PSMD14	PSMD13
PSMD3	PSMD10	PSMD3	PSMD10
PSMD3	PSMC3	PSMD3	PSMC3
PSMD3	PSMC2	PSMD3	PSMC2
PSMD3	PSMC4	PSMD3	PSMC4
PSMD3	PSMD8	PSMD3	PSMD8
PSMD3	PSMD7	PSMD3	PSMD7
PSMD3	PSMD4	PSMD3	PSMD4
PSMD3	PSMC1	PSMD3	PSMC1
PSMD3	PSMC5	PSMD3	PSMC5
PSMD3	PSMC6	PSMD3	PSMC6
PSMD3	PSMD2	PSMD3	PSMD2
PSMD3	PSMD6	PSMD3	PSMD6
PSMD3	PSMD5	PSMD3	PSMD5
PSMD3	PSMD1	PSMD3	PSMD1
PSMD3	PSMD13	PSMD3	PSMD13
PSMD10	PSMC3	PSMD10	PSMC3
PSMD10	PSMC2	PSMD10	PSMC2
PSMD10	PSMC4	PSMD10	PSMC4
PSMD10	PSMD8	PSMD10	PSMD8
PSMD10	PSMD7	PSMD10	PSMD7
PSMD10	PSMD4	PSMD10	PSMD4
PSMD10	PSMC1	PSMD10	PSMC1
PSMD10	PSMC5	PSMD10	PSMC5
PSMD10	PSMC6	PSMD10	PSMC6
PSMD10	PSMD2	PSMD10	PSMD2
PSMD10	PSMD6	PSMD10	PSMD6
PSMD10	PSMD5	PSMD10	PSMD5
PSMD10	PSMD1	PSMD10	PSMD1
PSMD10	PSMD13	PSMD10	PSMD13
PSMC3	PSMC2	PSMC3	PSMC2
PSMC3	PSMC4	PSMC3	PSMC4
PSMC3	PSMD8	PSMC3	PSMD8
PSMC3	PSMD7	PSMC3	PSMD7
PSMC3	PSMD4	PSMC3	PSMD4
PSMC3	PSMC1	PSMC3	PSMC1
PSMC3	PSMC5	PSMC3	PSMC5
PSMC3	PSMC6	PSMC3	PSMC6
PSMC3	PSMD2	PSMC3	PSMD2
PSMC3	PSMD6	PSMC3	PSMD6
PSMC3	PSMD5	PSMC3	PSMD5
PSMC3	PSMD1	PSMC3	PSMD1
PSMC3	PSMD13	PSMC3	PSMD13
PSMC2	PSMC4	PSMC2	PSMC4
PSMC2	PSMD8	PSMC2	PSMD8
PSMC2	PSMD7	PSMC2	PSMD7
PSMC2	PSMD4	PSMC2	PSMD4
PSMC2	PSMC1	PSMC2	PSMC1
PSMC2	PSMC5	PSMC2	PSMC5
PSMC2	PSMC6	PSMC2	PSMC6
PSMC2	PSMD2	PSMC2	PSMD2
PSMC2	PSMD6	PSMC2	PSMD6
PSMC2	PSMD5	PSMC2	PSMD5
PSMC2	PSMD1	PSMC2	PSMD1
PSMC2	PSMD13	PSMC2	PSMD13
PSMC4	PSMD8	PSMC4	PSMD8
PSMC4	PSMD7	PSMC4	PSMD7
PSMC4	PSMD4	PSMC4	PSMD4
PSMC4	PSMC1	PSMC4	PSMC1
PSMC4	PSMC5	PSMC4	PSMC5
PSMC4	PSMC6	PSMC4	PSMC6
PSMC4	PSMD2	PSMC4	PSMD2
PSMC4	PSMD6	PSMC4	PSMD6
PSMC4	PSMD5	PSMC4	PSMD5
PSMC4	PSMD1	PSMC4	PSMD1
PSMC4	PSMD13	PSMC4	PSMD13
PSMD8	PSMD7	PSMD8	PSMD7
PSMD8	PSMD4	PSMD8	PSMD4
PSMD8	PSMC1	PSMD8	PSMC1
PSMD8	PSMC5	PSMD8	PSMC5
PSMD8	PSMC6	PSMD8	PSMC6
PSMD8	PSMD2	PSMD8	PSMD2
PSMD8	PSMD6	PSMD8	PSMD6
PSMD8	PSMD5	PSMD8	PSMD5
PSMD8	PSMD1	PSMD8	PSMD1
PSMD8	PSMD13	PSMD8	PSMD13
PSMD7	PSMD4	PSMD7	PSMD4
PSMD7	PSMC1	PSMD7	PSMC1
PSMD7	PSMC5	PSMD7	PSMC5
PSMD7	PSMC6	PSMD7	PSMC6
PSMD7	PSMD2	PSMD7	PSMD2
PSMD7	PSMD6	PSMD7	PSMD6
PSMD7	PSMD5	PSMD7	PSMD5
PSMD7	PSMD1	PSMD7	PSMD1
PSMD7	PSMD13	PSMD7	PSMD13
PSMD4	PSMC1	PSMD4	PSMC1
PSMD4	PSMC5	PSMD4	PSMC5
PSMD4	PSMC6	PSMD4	PSMC6
PSMD4	PSMD2	PSMD4	PSMD2
PSMD4	PSMD6	PSMD4	PSMD6
PSMD4	PSMD5	PSMD4	PSMD5
PSMD4	PSMD1	PSMD4	PSMD1
PSMD4	PSMD13	PSMD4	PSMD13
PSMC1	PSMC5	PSMC1	PSMC5
PSMC1	PSMC6	PSMC1	PSMC6
PSMC1	PSMD2	PSMC1	PSMD2
PSMC1	PSMD6	PSMC1	PSMD6
PSMC1	PSMD5	PSMC1	PSMD5
PSMC1	PSMD1	PSMC1	PSMD1
PSMC1	PSMD13	PSMC1	PSMD13
PSMC5	PSMC6	PSMC5	PSMC6
PSMC5	PSMD2	PSMC5	PSMD2
PSMC5	PSMD6	PSMC5	PSMD6
PSMC5	PSMD5	PSMC5	PSMD5
PSMC5	PSMD1	PSMC5	PSMD1
PSMC5	PSMD13	PSMC5	PSMD13
PSMC6	PSMD2	PSMC6	PSMD2
PSMC6	PSMD6	PSMC6	PSMD6
PSMC6	PSMD5	PSMC6	PSMD5
PSMC6	PSMD1	PSMC6	PSMD1
PSMC6	PSMD13	PSMC6	PSMD13
PSMD2	PSMD6	PSMD2	PSMD6
PSMD2	PSMD5	PSMD2	PSMD5
PSMD2	PSMD1	PSMD2	PSMD1
PSMD2	PSMD13	PSMD2	PSMD13
PSMD6	PSMD5	PSMD6	PSMD5
PSMD6	PSMD1	PSMD6	PSMD1
PSMD6	PSMD13	PSMD6	PSMD13
PSMD5	PSMD1	PSMD5	PSMD1
PSMD5	PSMD13	PSMD5	PSMD13
PSMD1	PSMD13	PSMD1	PSMD13
Dmd	Aqp4	Dmd	Aqp4
Dmd	Snta1	Dmd	Snta1
Dmd	Dag1	Dmd	Dag1
Aqp4	Snta1	Aqp4	Snta1
Aqp4	Dag1	Aqp4	Dag1
Snta1	Dag1	Snta1	Dag1
AP1G1	AP1G2	AP1G1	AP1G2
AP1G1	AP1S2	AP1G1	AP1S2
AP1G1	AP1S1	AP1G1	AP1S1
AP1G1	AP1B1	AP1G1	AP1B1
AP1G1	AP1S3	AP1G1	AP1S3
AP1G1	AP1M1	AP1G1	AP1M1
AP1G1	AP1M2	AP1G1	AP1M2
AP1G2	AP1S2	AP1G2	AP1S2
AP1G2	AP1S1	AP1G2	AP1S1
AP1G2	AP1B1	AP1G2	AP1B1
AP1G2	AP1S3	AP1G2	AP1S3
AP1G2	AP1M1	AP1G2	AP1M1
AP1G2	AP1M2	AP1G2	AP1M2
AP1S2	AP1S1	AP1S2	AP1S1
AP1S2	AP1B1	AP1S2	AP1B1
AP1S2	AP1S3	AP1S2	AP1S3
AP1S2	AP1M1	AP1S2	AP1M1
AP1S2	AP1M2	AP1S2	AP1M2
AP1S1	AP1B1	AP1S1	AP1B1
AP1S1	AP1S3	AP1S1	AP1S3
AP1S1	AP1M1	AP1S1	AP1M1
AP1S1	AP1M2	AP1S1	AP1M2
AP1B1	AP1S3	AP1B1	AP1S3
AP1B1	AP1M1	AP1B1	AP1M1
AP1B1	AP1M2	AP1B1	AP1M2
AP1S3	AP1M1	AP1S3	AP1M1
AP1S3	AP1M2	AP1S3	AP1M2
AP1M1	AP1M2	AP1M1	AP1M2
Psmb1	Psmb10	Psmb1	Psmb10
Psmb1	Psma3	Psmb1	Psma3
Psmb1	Psmb8	Psmb1	Psmb8
Psmb1	Psmb9	Psmb1	Psmb9
Psmb1	Psma2	Psmb1	Psma2
Psmb1	Psmb4	Psmb1	Psmb4
Psmb1	Psma6	Psmb1	Psma6
Psmb1	Psma4	Psmb1	Psma4
Psmb1	Psmb3	Psmb1	Psmb3
Psmb1	Psmb2	Psmb1	Psmb2
Psmb1	Psma1	Psmb1	Psma1
Psmb1	Psma7	Psmb1	Psma7
Psmb1	Psma5	Psmb1	Psma5
Psmb10	Psma3	Psmb10	Psma3
Psmb10	Psmb8	Psmb10	Psmb8
Psmb10	Psmb9	Psmb10	Psmb9
Psmb10	Psma2	Psmb10	Psma2
Psmb10	Psmb4	Psmb10	Psmb4
Psmb10	Psma6	Psmb10	Psma6
Psmb10	Psma4	Psmb10	Psma4
Psmb10	Psmb3	Psmb10	Psmb3
Psmb10	Psmb2	Psmb10	Psmb2
Psmb10	Psma1	Psmb10	Psma1
Psmb10	Psma7	Psmb10	Psma7
Psmb10	Psma5	Psmb10	Psma5
Psma3	Psmb8	Psma3	Psmb8
Psma3	Psmb9	Psma3	Psmb9
Psma3	Psma2	Psma3	Psma2
Psma3	Psmb4	Psma3	Psmb4
Psma3	Psma6	Psma3	Psma6
Psma3	Psma4	Psma3	Psma4
Psma3	Psmb3	Psma3	Psmb3
Psma3	Psmb2	Psma3	Psmb2
Psma3	Psma1	Psma3	Psma1
Psma3	Psma7	Psma3	Psma7
Psma3	Psma5	Psma3	Psma5
Psmb8	Psmb9	Psmb8	Psmb9
Psmb8	Psma2	Psmb8	Psma2
Psmb8	Psmb4	Psmb8	Psmb4
Psmb8	Psma6	Psmb8	Psma6
Psmb8	Psma4	Psmb8	Psma4
Psmb8	Psmb3	Psmb8	Psmb3
Psmb8	Psmb2	Psmb8	Psmb2
Psmb8	Psma1	Psmb8	Psma1
Psmb8	Psma7	Psmb8	Psma7
Psmb8	Psma5	Psmb8	Psma5
Psmb9	Psma2	Psmb9	Psma2
Psmb9	Psmb4	Psmb9	Psmb4
Psmb9	Psma6	Psmb9	Psma6
Psmb9	Psma4	Psmb9	Psma4
Psmb9	Psmb3	Psmb9	Psmb3
Psmb9	Psmb2	Psmb9	Psmb2
Psmb9	Psma1	Psmb9	Psma1
Psmb9	Psma7	Psmb9	Psma7
Psmb9	Psma5	Psmb9	Psma5
Psma2	Psmb4	Psma2	Psmb4
Psma2	Psma6	Psma2	Psma6
Psma2	Psma4	Psma2	Psma4
Psma2	Psmb3	Psma2	Psmb3
Psma2	Psmb2	Psma2	Psmb2
Psma2	Psma1	Psma2	Psma1
Psma2	Psma7	Psma2	Psma7
Psma2	Psma5	Psma2	Psma5
Psmb4	Psma6	Psmb4	Psma6
Psmb4	Psma4	Psmb4	Psma4
Psmb4	Psmb3	Psmb4	Psmb3
Psmb4	Psmb2	Psmb4	Psmb2
Psmb4	Psma1	Psmb4	Psma1
Psmb4	Psma7	Psmb4	Psma7
Psmb4	Psma5	Psmb4	Psma5
Psma6	Psma4	Psma6	Psma4
Psma6	Psmb3	Psma6	Psmb3
Psma6	Psmb2	Psma6	Psmb2
Psma6	Psma1	Psma6	Psma1
Psma6	Psma7	Psma6	Psma7
Psma6	Psma5	Psma6	Psma5
Psma4	Psmb3	Psma4	Psmb3
Psma4	Psmb2	Psma4	Psmb2
Psma4	Psma1	Psma4	Psma1
Psma4	Psma7	Psma4	Psma7
Psma4	Psma5	Psma4	Psma5
Psmb3	Psmb2	Psmb3	Psmb2
Psmb3	Psma1	Psmb3	Psma1
Psmb3	Psma7	Psmb3	Psma7
Psmb3	Psma5	Psmb3	Psma5
Psmb2	Psma1	Psmb2	Psma1
Psmb2	Psma7	Psmb2	Psma7
Psmb2	Psma5	Psmb2	Psma5
Psma1	Psma7	Psma1	Psma7
Psma1	Psma5	Psma1	Psma5
Psma7	Psma5	Psma7	Psma5
MTA2	MBD3	MTA2	MBD3
MTA2	BCL6	MTA2	BCL6
MTA2	HDAC1	MTA2	HDAC1
MTA2	MTA3	MTA2	MTA3
MBD3	BCL6	MBD3	BCL6
MBD3	HDAC1	MBD3	HDAC1
MBD3	MTA3	MBD3	MTA3
BCL6	HDAC1	BCL6	HDAC1
BCL6	MTA3	BCL6	MTA3
HDAC1	MTA3	HDAC1	MTA3
Apba1	Cask	Apba1	Cask
Apba1	Lin7a	Apba1	Lin7a
Cask	Lin7a	Cask	Lin7a
Ap2a2	Ap2s1	Ap2a2	Ap2s1
Ap2a2	AP2B1	Ap2a2	AP2B1
Ap2a2	Ap2m1	Ap2a2	Ap2m1
Ap2s1	AP2B1	Ap2s1	AP2B1
Ap2s1	Ap2m1	Ap2s1	Ap2m1
AP2B1	Ap2m1	AP2B1	Ap2m1
Prim1	Pola1	Prim1	Pola1
Prim1	Prim2	Prim1	Prim2
Prim1	Pola2	Prim1	Pola2
Pola1	Prim2	Pola1	Prim2
Pola1	Pola2	Pola1	Pola2
Prim2	Pola2	Prim2	Pola2
RGS7	Gnaq	RGS7	Gnaq
RGS7	Gnb5	RGS7	Gnb5
Gnaq	Gnb5	Gnaq	Gnb5
SMARCA5	KIF4A	SMARCA5	KIF4A
SMARCA5	SMC2	SMARCA5	SMC2
SMARCA5	HDAC1	SMARCA5	HDAC1
SMARCA5	SIN3A	SMARCA5	SIN3A
SMARCA5	SMC4	SMARCA5	SMC4
SMARCA5	DNMT3B	SMARCA5	DNMT3B
KIF4A	SMC2	KIF4A	SMC2
KIF4A	HDAC1	KIF4A	HDAC1
KIF4A	SIN3A	KIF4A	SIN3A
KIF4A	SMC4	KIF4A	SMC4
KIF4A	DNMT3B	KIF4A	DNMT3B
SMC2	HDAC1	SMC2	HDAC1
SMC2	SIN3A	SMC2	SIN3A
SMC2	SMC4	SMC2	SMC4
SMC2	DNMT3B	SMC2	DNMT3B
HDAC1	SIN3A	HDAC1	SIN3A
HDAC1	SMC4	HDAC1	SMC4
HDAC1	DNMT3B	HDAC1	DNMT3B
SIN3A	SMC4	SIN3A	SMC4
SIN3A	DNMT3B	SIN3A	DNMT3B
SMC4	DNMT3B	SMC4	DNMT3B
RAB5A	RABEP1	RAB5A	RABEP1
RAB5A	RABGEF1	RAB5A	RABGEF1
RABEP1	RABGEF1	RABEP1	RABGEF1
Tcp1	Cct8	Tcp1	Cct8
Tcp1	Cct7	Tcp1	Cct7
Tcp1	Cct2	Tcp1	Cct2
Tcp1	Cct4	Tcp1	Cct4
Tcp1	Cct5	Tcp1	Cct5
Tcp1	Cct6a	Tcp1	Cct6a
Tcp1	Cct3	Tcp1	Cct3
Cct8	Cct7	Cct8	Cct7
Cct8	Cct2	Cct8	Cct2
Cct8	Cct4	Cct8	Cct4
Cct8	Cct5	Cct8	Cct5
Cct8	Cct6a	Cct8	Cct6a
Cct8	Cct3	Cct8	Cct3
Cct7	Cct2	Cct7	Cct2
Cct7	Cct4	Cct7	Cct4
Cct7	Cct5	Cct7	Cct5
Cct7	Cct6a	Cct7	Cct6a
Cct7	Cct3	Cct7	Cct3
Cct2	Cct4	Cct2	Cct4
Cct2	Cct5	Cct2	Cct5
Cct2	Cct6a	Cct2	Cct6a
Cct2	Cct3	Cct2	Cct3
Cct4	Cct5	Cct4	Cct5
Cct4	Cct6a	Cct4	Cct6a
Cct4	Cct3	Cct4	Cct3
Cct5	Cct6a	Cct5	Cct6a
Cct5	Cct3	Cct5	Cct3
Cct6a	Cct3	Cct6a	Cct3
Rgs7	Gnb5	Rgs7	Gnb5
SAP18	SAP30	SAP18	SAP30
SAP18	RBBP4	SAP18	RBBP4
SAP18	HDAC1	SAP18	HDAC1
SAP18	RBBP7	SAP18	RBBP7
SAP18	HDAC2	SAP18	HDAC2
SAP18	SIN3A	SAP18	SIN3A
SAP30	RBBP4	SAP30	RBBP4
SAP30	HDAC1	SAP30	HDAC1
SAP30	RBBP7	SAP30	RBBP7
SAP30	HDAC2	SAP30	HDAC2
SAP30	SIN3A	SAP30	SIN3A
RBBP4	HDAC1	RBBP4	HDAC1
RBBP4	RBBP7	RBBP4	RBBP7
RBBP4	HDAC2	RBBP4	HDAC2
RBBP4	SIN3A	RBBP4	SIN3A
HDAC1	RBBP7	HDAC1	RBBP7
HDAC1	HDAC2	HDAC1	HDAC2
HDAC1	SIN3A	HDAC1	SIN3A
RBBP7	HDAC2	RBBP7	HDAC2
RBBP7	SIN3A	RBBP7	SIN3A
HDAC2	SIN3A	HDAC2	SIN3A
MAPK3	HDAC4	MAPK3	HDAC4
Tceb2	Tceb1	Tceb2	Tceb1
Tceb2	Tceb3	Tceb2	Tceb3
Tceb1	Tceb3	Tceb1	Tceb3
MAPK1	HDAC4	MAPK1	HDAC4
HDAC3	TBL1X	HDAC3	TBL1X
HDAC3	GPS2	HDAC3	GPS2
HDAC3	TBL1XR1	HDAC3	TBL1XR1
HDAC3	NCOR2	HDAC3	NCOR2
TBL1X	GPS2	TBL1X	GPS2
TBL1X	TBL1XR1	TBL1X	TBL1XR1
TBL1X	NCOR2	TBL1X	NCOR2
GPS2	TBL1XR1	GPS2	TBL1XR1
GPS2	NCOR2	GPS2	NCOR2
TBL1XR1	NCOR2	TBL1XR1	NCOR2
AP3B1	AP3D1	AP3B1	AP3D1
AP3B1	AP3M2	AP3B1	AP3M2
AP3B1	AP3S2	AP3B1	AP3S2
AP3B1	AP3B2	AP3B1	AP3B2
AP3B1	AP3S1	AP3B1	AP3S1
AP3B1	AP3M1	AP3B1	AP3M1
AP3D1	AP3M2	AP3D1	AP3M2
AP3D1	AP3S2	AP3D1	AP3S2
AP3D1	AP3B2	AP3D1	AP3B2
AP3D1	AP3S1	AP3D1	AP3S1
AP3D1	AP3M1	AP3D1	AP3M1
AP3M2	AP3S2	AP3M2	AP3S2
AP3M2	AP3B2	AP3M2	AP3B2
AP3M2	AP3S1	AP3M2	AP3S1
AP3M2	AP3M1	AP3M2	AP3M1
AP3S2	AP3B2	AP3S2	AP3B2
AP3S2	AP3S1	AP3S2	AP3S1
AP3S2	AP3M1	AP3S2	AP3M1
AP3B2	AP3S1	AP3B2	AP3S1
AP3B2	AP3M1	AP3B2	AP3M1
AP3S1	AP3M1	AP3S1	AP3M1
STAT1	STAT2	STAT1	STAT2
STAT1	IRF9	STAT1	IRF9
STAT2	IRF9	STAT2	IRF9
MTA2	MBD3	MTA2	MBD3
MTA2	RBBP4	MTA2	RBBP4
MTA2	HDAC1	MTA2	HDAC1
MTA2	CHD4	MTA2	CHD4
MTA2	RBBP7	MTA2	RBBP7
MTA2	HDAC2	MTA2	HDAC2
MBD3	RBBP4	MBD3	RBBP4
MBD3	HDAC1	MBD3	HDAC1
MBD3	CHD4	MBD3	CHD4
MBD3	RBBP7	MBD3	RBBP7
MBD3	HDAC2	MBD3	HDAC2
RBBP4	HDAC1	RBBP4	HDAC1
RBBP4	CHD4	RBBP4	CHD4
RBBP4	RBBP7	RBBP4	RBBP7
RBBP4	HDAC2	RBBP4	HDAC2
HDAC1	CHD4	HDAC1	CHD4
HDAC1	RBBP7	HDAC1	RBBP7
HDAC1	HDAC2	HDAC1	HDAC2
CHD4	RBBP7	CHD4	RBBP7
CHD4	HDAC2	CHD4	HDAC2
RBBP7	HDAC2	RBBP7	HDAC2
MTA2	MBD3	MTA2	MBD3
MTA2	RBBP4	MTA2	RBBP4
MTA2	HDAC1	MTA2	HDAC1
MTA2	CHD4	MTA2	CHD4
MTA2	RBBP7	MTA2	RBBP7
MTA2	HDAC2	MTA2	HDAC2
MTA2	MBD2	MTA2	MBD2
MBD3	RBBP4	MBD3	RBBP4
MBD3	HDAC1	MBD3	HDAC1
MBD3	CHD4	MBD3	CHD4
MBD3	RBBP7	MBD3	RBBP7
MBD3	HDAC2	MBD3	HDAC2
MBD3	MBD2	MBD3	MBD2
RBBP4	HDAC1	RBBP4	HDAC1
RBBP4	CHD4	RBBP4	CHD4
RBBP4	RBBP7	RBBP4	RBBP7
RBBP4	HDAC2	RBBP4	HDAC2
RBBP4	MBD2	RBBP4	MBD2
HDAC1	CHD4	HDAC1	CHD4
HDAC1	RBBP7	HDAC1	RBBP7
HDAC1	HDAC2	HDAC1	HDAC2
HDAC1	MBD2	HDAC1	MBD2
