,pathogen-count,pathogen-aggr--log10p:flu,pathogen-aggr--log10p:hrv,pathogen-aggr--log10p:rsv,pathogen-aggr--log10p:piv3,pathogen-aggr--log10p:hucovNL63,pathogen-aggr--log10p:hucovOC43,pathogen-aggr--log10p:hucov229E,pathogen-aggr--log10p:sars2,pathogen-aggr--log10p:mers
HID1,1.0,3.506964648532002,1.0265073075178308,1.9418777842170862,0.43945974354814654,0.3334258643065495,0.29146013137203464,0.31455386131226615,0.6949497310827771,1.0929551254111416
MSI2,1.0,4.550202830147327,0.8068197264346547,1.7765819430947059,0.24274825382790158,0.45778475592318524,1.0083752654659948,1.0016839802525648,0.13675448688002584,1.2577286400251075
AP3M1,1.0,3.5559919424304436,1.9212532657263928,1.7554260271825646,1.4785219392657007,0.5841922723644567,0.5807383560089915,0.5174980113897117,0.14829535254761206,0.7631213153521015
TIPRL,1.0,4.169659880186039,2.604463937881564,1.754635412365237,1.0219336659163798,0.849304948857286,0.14580330483997286,1.4348844901806235,0.4182209542715414,0.710641724191827
KCTD5,3.0,4.9388938309968236,0.8338067848299326,1.7316326745785162,0.5822294688830746,0.3984179955431339,0.10975787805837998,3.191093902001989,0.6946916321358563,7.1099426473150835
HNF1B,2.0,4.06817758551519,0.4851203447772066,1.7296706029101416,0.15589576930248666,6.610479534153622,1.2057769328823325,1.1444384466615736,1.0754261140533443,0.5305793111787357
MRPL20,1.0,4.794810709832885,0.0742703200987568,1.6887548791217921,0.4379570755090413,0.4382667244150861,1.839651539238903,0.56755987705721,0.7060631861127064,0.4313937408706381
UPF3B,3.0,4.411988427948612,1.9070689243264476,1.6550578372347646,0.39473806215034524,6.610479534153622,1.0921159026193443,5.331800515801338,0.5279313624165146,2.59122935549921
SBDS,4.0,3.4861718888700817,1.8027745938818083,1.653568781340177,3.195410825170695,6.610479534153622,0.8207930238445126,5.911580382983908,0.4485012076355333,0.9789370987836057
MRPL17,1.0,4.27052226203242,0.6867234843509477,1.6391037839250793,1.2246371667838514,1.3392672960619052,2.946268684112393,0.3916344496968756,0.367370643858509,0.574741765608648
CTBP2,1.0,3.5423625205975107,0.17542512815073338,1.6349615178042947,0.7000788696698063,0.24252046106694283,0.40850131549418195,0.7422734394413679,0.6914355864387612,1.2525140467218991
TKT,3.0,3.592018200156271,0.5206406671930284,1.627898454352369,1.3316327229581455,0.3589723118225861,4.542435996032601,4.493278550756513,0.6266098003725303,0.46613128756118405
GIT1,1.0,3.385612271972736,0.9940477131126171,1.5993756783382331,0.6789196353027616,0.4163252371462793,1.4934002719580364,0.3608323760041107,0.6800407709298185,0.5525511023929943
STAG2,1.0,6.003878629606527,2.0412354990047534,1.5834759857313472,0.6374609801694013,1.579483168771383,0.9275662740316121,0.45676411612304174,0.39128146474085745,2.4957779455544333
CFL1,1.0,3.211468898263327,1.76957662610736,1.5592797826830962,0.4757726948063449,0.6515198965120104,1.774768277785354,2.0455789839641794,0.16880874097360984,0.42342570974657245
SGMS1,1.0,4.605581333883091,0.7887459323821275,1.5372876268052642,1.770420537334355,0.302160631781637,1.109249333180476,0.30027497993882546,0.5166980476418329,0.2539512135364662
ANP32B,1.0,5.000635172784512,0.8562671768613076,1.5222133370907605,1.2130641128437505,0.6200421706552992,1.1447110753655116,1.0857785258586758,2.929777366539042,0.6138516311464557
DMXL1,1.0,5.29379060422922,0.5870357280033373,1.5036931948886314,0.13453475733364728,0.44088372000803944,0.5165125523204073,0.29225103356970505,0.9505493818684505,0.24444830413625168
C1QBP,1.0,3.9571133269374164,0.2671721626977128,1.4825929463478458,0.6439932751437999,1.5102242719095254,0.11179803346870261,0.4073015141518147,1.585143593209406,0.6630293068037572
