,0,1
NUBP1,-23.17515246979772,-12.78456679228174
DHX33,-23.151461863887075,-12.50001780240924
CEBPZ,-22.209096583348064,-11.725079860379013
INCA1,-22.356833416295398,-11.004178988944021
NOP14,-22.326793787340453,-11.605458357989718
EXD3,-21.29405065339993,-10.559796212155192
MAK16,-22.121547454749948,-11.900619637101254
RIC8A,-23.19472160182968,-11.37264596392593
ELP5,-23.511667534296905,-12.974906850566912
NHP2,-22.05152161689835,-13.266768933140177
PRDM10,-22.044332020854796,-10.68895115113582
DHPS,-23.634594160467305,-12.998385787068926
NUFIP1,-22.273417713059477,-11.227759018989612
TMA16,-22.484277105821462,-10.850080292865918
NUDCD3,-22.100925817864788,-13.151678441928777
PTP4A1,-22.2267097422066,-10.805858706614679
ZPR1,-23.550948159752842,-12.97112543473974
PYROXD1,-23.38282550579449,-12.759800817749317
GRB2,-17.621905927193247,-15.757129303776216
DNM2,-21.43130053332456,-12.553764732188807
NOL11,-22.54611131585019,-10.821856421420609
POP5,-22.26482617046919,-11.885885025275247
AATF,-21.919960542705777,-11.98496468356289
NOP10,-22.980192541846645,-12.45588956275038
NO_SITE_524,-21.58128126800146,-10.718528576705607
SHQ1,-23.209014195675813,-11.302355991945213
URB1,-21.92361170899699,-11.85429560647169
IMP4,-22.166012928647568,-12.459644579252563
DNMT1,-22.973285707253257,-11.59726824050735
ALG14,-22.177733651819892,-10.387854123295824
NAT10,-22.244268143731304,-11.538556567656661
CNIH1,-21.230344128678816,-11.469334165367084
IPPK,-23.191075143126497,-11.147203832628875
CDS2,-22.94869676669993,-11.5448134556678
RCL1,-23.28893117356978,-11.970752163996165
TGFBR2,-21.967169538746877,-10.504414223971684
TAF6L,-23.045493999542117,-14.603764804783754
NOL10,-18.313513603660223,-16.214935223923753
WDR3,-21.757078684047535,-11.002403927317411
LTV1,-22.07185470975205,-10.630188226234702
XRCC5,-22.127933128920567,-10.245525870786357
RPF2,-21.808064069684878,-10.569012368165293
PAGR1,-21.63410909418288,-10.331674561933642
ARPC4,-23.59997659964792,-13.11250631593573
RHEB,-21.628239308877802,-10.336559316371083
PARP9,-22.025922840410658,-10.53002055812853
RIOK1,-20.827589115582484,-12.64562407521125
ISG20L2,-21.311039804749633,-10.511034465238271
DHX36,-17.39884736275615,-16.084980459170097
SPSB2,-22.1770281364685,-10.391324592870333
ASH2L,-17.470593420605816,-15.70785735672964
KRR1,-22.431978896808367,-12.479557861852365
POP7,-23.12149321098963,-12.672313002806915
UTP6,-20.90209117589924,-12.528799105711473
CCDC105,-22.089708414171096,-10.64125770523319
DNAAF3,-22.119409970306698,-11.084645933996503
GAD2,-22.08133010229849,-10.541743699472732
VPS13D,-22.00428135246365,-12.176405393767267
